bedrijfsnaam,website,branche,aantal_medewerkers,locatie,voornaam,achternaam,functie,email,telefoon,linkedin_url,status,campaign_id,email_sent_at,opened,clicked,replied,reply_text,reply_at,pain_points,personalisatie_note,instantly_lead_id,last_contacted,follow_up_count
Oued Amlil,https://www.google.com/maps/search/?api=1&query=Oued%20Amlil&query_place_id=ChIJ_Q6aHGZvxkcRi-HhOwq5VFw,Horeca,,"Damstraat 21, 3531 BR Utrecht, Nederland",,,,,+31 30 259 3397,,new,,,,,,,,{},,,,0
Besties,https://www.google.com/maps/search/?api=1&query=Besties&query_place_id=ChIJYRM0IABvxkcRXkn-WnuY-vw,Horeca,,"Kanaalstraat 78, 3531 CL Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
JEU de boules bar Utrecht,https://www.jeudeboulesbar.nl/,Horeca,,"Paardenveld 3, 3511 RD Utrecht, Nederland",,,,,0302020130,,new,,,,,,,,{},,,,0
SHOKUDO Japanese Food & Design,http://shokudo.nl/,Horeca,,"Kleinesingel 41, 3572 CG Utrecht, Nederland",,,,,0643803828,,new,,,,,,,,{},,,,0
Gilo's,http://www.pizzeria-gilos.nl/,Horeca,,"Nobelstraat 221, 3512 EM Utrecht, Nederland",,,,,030 878 8885,,new,,,,,,,,{},,,,0
Pizzeria Fatta A Mano,https://www.pizzeriafattaamano.nl/,Horeca,,"W.A. Vultostraat 112, 3523 TZ Utrecht, Nederland",,,,,+31 30 307 5785,,new,,,,,,,,{},,,,0
De Driehoek Horeca Lombok,http://www.dedriehoekhoreca.nl/lombok/,Horeca,,"Kanaalstraat 161, 3531 CE Utrecht, Nederland",,,,,+31 30 294 7638,,new,,,,,,,,{},,,,0
Italiaans restaurant Piero’s,http://www.pierosutrecht.nl/,Horeca,,"Ledig Erf 10, 3582 EA Utrecht, Nederland",,,,,+31 30 636 8798,,new,,,,,,,,{},,,,0
Lunchroom Sofia,https://www.lunchroomsofia.nl/,Horeca,,"Bernadottelaan 25, 3527 GA Utrecht, Nederland",,,,,+31 30 662 4531,,new,,,,,,,,{},,,,0
La Ciabatta,http://www.laciabatta-utrecht.nl/contact,Horeca,,"Mariaplaats 8-A, 3511 LH Utrecht, Nederland",,,,,+31 30 232 2286,,new,,,,,,,,{},,,,0
Kushiin,http://kushiin.nl/,Horeca,,"Ridderschapstraat 1, 3512 CV Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Bistronome Des Arts,http://www.bistronomedesarts.nl/,Horeca,,"Lijnmarkt 48, 3511 KJ Utrecht, Nederland",,,,,0031611389197,,new,,,,,,,,{},,,,0
Uncle Dani’s Pizza (Utrecht),https://uncledanis.nl/,Horeca,,"W.A. Vultostraat 47, 3523 TT Utrecht, Nederland",,,,,035-203-1673,,new,,,,,,,,{},,,,0
Max,https://www.google.com/maps/search/?api=1&query=Max&query_place_id=ChIJkSs6xKtoxkcR3QcaFDl4VzQ,Horeca,,"Adriaen van Ostadelaan 61, 3583 AB Utrecht, Nederland",,,,,+31 6 19999500,,new,,,,,,,,{},,,,0
Tijm - Restaurant,http://www.tijmutrecht.nl/,Horeca,,"Pieter Nieuwlandstraat 5, 3514 HA Utrecht, Nederland",,,,,0308897698,,new,,,,,,,,{},,,,0
"Nón Lá lunchroom, Catering and Events",http://nonla.nl/,Horeca,,"Oudegracht 212, 3511 NS Utrecht, Nederland",,,,,+31 30 889 1119,,new,,,,,,,,{},,,,0
Domino's Pizza Utrecht Rijnlaan,https://www.dominos.nl/?utm_source=google&utm_medium=local&utm_campaign=yext,Horeca,,"Rijnlaan 6A, 3522 BN Utrecht, Nederland",,,,,+31 30 288 8712,,new,,,,,,,,{},,,,0
Brasserie Zeven,https://www.google.com/maps/search/?api=1&query=Brasserie%20Zeven&query_place_id=ChIJh3U66lxvxkcRs21bCzZNAm0,Horeca,,"Catharijnesingel 55 A, 3511 GD Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
't Zusje Utrecht,https://zusje.nl/onze-zusjes/t-zusje-utrecht/?utm_source=Kliks_ZUTR&utm_medium=Google+bedrijfsprofiel&utm_campaign=Bezoekers_ZUTR&utm_id=Bezoekers_Utrecht,Horeca,,"Oudegracht 2, 3512 VL Utrecht, Nederland",,,,,+31 30 721 0855,,new,,,,,,,,{},,,,0
Café de Binnenstad,http://www.cafedebinnenstad.nl/,Horeca,,"Voor Clarenburg 4, 3511 JE Utrecht, Nederland",,,,,+31 6 21843948,,new,,,,,,,,{},,,,0
Belgisch Biercafé Olivier Utrecht,https://www.cafe-olivier.be/nl/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=belgischbiercafeolivier,Horeca,,"Achter Clarenburg 6A, 3511 JJ Utrecht, Nederland",,,,,+31 30 236 7876,,new,,,,,,,,{},,,,0
Beers & Barrels - Utrecht Centrum,https://www.beersbarrels.nl/nl/locaties/utrecht-centrum/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=utrechtcentrum,Horeca,,"Oudegracht aan de Werf 125, 3511 AL Utrecht, Nederland",,,,,+31 30 636 8744,,new,,,,,,,,{},,,,0
Velvet,https://www.google.com/maps/search/?api=1&query=Velvet&query_place_id=ChIJh9EpZ45lxkcRJje3Pn3OB2I,Horeca,,"Marco Pololaan 363-365, 3526 GG Utrecht, Nederland",,,,,+31 6 36158941,,new,,,,,,,,{},,,,0
Buenas Lunchroom,https://www.google.com/maps/search/?api=1&query=Buenas%20Lunchroom&query_place_id=ChIJoUXTVZBlxkcRalWPTA0kUxg,Horeca,,"Columbuslaan 271, 3526 EG Utrecht, Nederland",,,,,+31 30 743 7208,,new,,,,,,,,{},,,,0
Domino's Pizza Utrecht Potterstraat,https://www.dominos.nl/?utm_source=google&utm_medium=local&utm_campaign=yext,Horeca,,"Potterstraat 12, 3512 TA Utrecht, Nederland",,,,,+31 30 243 0777,,new,,,,,,,,{},,,,0
Chris Lunch en Snacks,http://www.chrislunchensnacks.nl/,Horeca,,"Jan van Scorelstraat 49, 3583 CK Utrecht, Nederland",,,,,+31306626197,,new,,,,,,,,{},,,,0
De Oaseboom,https://instagram.com/deoaseboomutrecht?utm_medium=copy_link,Horeca,,"Potterstraat 2-A, 3512 TA Utrecht, Nederland",,,,,+31 30 238 1835,,new,,,,,,,,{},,,,0
Tijm,http://www.tijmutrecht.nl/,Horeca,,"Donkere Gaard 3, 3511 KV Utrecht, Nederland",,,,,0308897698,,new,,,,,,,,{},,,,0
Life's a Peach,http://www.lifesapeach.nl/,Horeca,,"Hardebollenstraat 9, 3512 TP Utrecht, Nederland",,,,,+31 6 17805026,,new,,,,,,,,{},,,,0
Le Mignon,http://www.lemignonutrecht.nl/,Horeca,,"Boterstraat 15, 3511 LZ Utrecht, Nederland",,,,,030 633 2370,,new,,,,,,,,{},,,,0
Woody Utrecht,https://www.google.com/maps/search/?api=1&query=Woody%20Utrecht&query_place_id=ChIJrT9W7p5lxkcRHyPTc4NwQCE,Horeca,,"Amerikalaan 203, 3526 VD Utrecht, Nederland",,,,,+31 6 51560938,,new,,,,,,,,{},,,,0
De Hoendervorst,https://coastal-wander-nest.eu/de-hoendervorst-netherlands,Horeca,,"Oudegracht aan de Werf 409-b, 3511 PE, Netherlands3511 PE Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Apt utrecht,https://www.google.com/maps/search/?api=1&query=Apt%20utrecht&query_place_id=ChIJ_R1fiFZvxkcRUoUbmKSPb-U,Horeca,,"Tolsteegsingel 20, 3582 AE Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Pizzeria Laveno🍕,https://pizzerialaveno.foodticket.nl/,Horeca,,"Voorstraat 75A, 3512 AK Utrecht, Nederland",,,,,+31 30 696 6930,,new,,,,,,,,{},,,,0
Domstadboot,http://domstadboot.nl/,Horeca,,"Oudegracht 181, 3511 AL Utrecht, Nederland",,,,,+31618426144,,new,,,,,,,,{},,,,0
Buurpakhuis,https://www.google.com/maps/search/?api=1&query=Buurpakhuis&query_place_id=ChIJ1SmYwLRvxkcRr4seS87DLLw,Horeca,,"Buurkerkhof 7, 3511 KC Utrecht, Nederland",,,,,+31 30 889 8300,,new,,,,,,,,{},,,,0
The Nature,https://www.google.com/maps/search/?api=1&query=The%20Nature&query_place_id=ChIJMWK7a01vxkcR-w3Tes4PDM0,Horeca,,"Maliebaan 71, 3581 CG Utrecht, Nederland",,,,,+31 30 601 4349,,new,,,,,,,,{},,,,0
Het Speelgoedhotel,https://www.google.com/maps/search/?api=1&query=Het%20Speelgoedhotel&query_place_id=ChIJwWezJ7NvxkcR6XAc5JQHXAQ,Horeca,,"Herenweg 87, 3513 CD Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Teds Utrecht Stadhuisplein,http://www.teds-place.nl/utrecht-stadhuisplein,Horeca,,"Korte Minrebroederstraat 11, 3512 GG Utrecht, Nederland",,,,,+31 30 888 4843,https://nl.linkedin.com/company/teds-all-day-brunch,new,,,,,,,,{},,,,0
De Otterdam,https://www.google.com/maps/search/?api=1&query=De%20Otterdam&query_place_id=ChIJfWF1O5NvxkcR1Kb2SAVv_d0,Horeca,,"Otterstraat 2, 3513 CM Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Limehome Utrecht Balijelaan,https://www.limehome.com/,Horeca,,"Balijelaan 17, 3521 GJ Utrecht, Nederland",,,,,+49 89 41207807,https://www.linkedin.com/company/limehome,new,,,,,,,,{},,,,0
Bar Restaurant Walden,http://barwalden.nl/,Horeca,,"Domplein 16, 3512 JD Utrecht, Nederland",,,,,+31 30 236 4982,,new,,,,,,,,{},,,,0
Stanley's Place,https://www.google.com/maps/search/?api=1&query=Stanley's%20Place&query_place_id=ChIJsWr7b81vxkcR-XGMP_6cqNU,Horeca,,"Servetstraat 8B, 3512 JG Utrecht, Nederland",,,,,+31 6 44667099,,new,,,,,,,,{},,,,0
Overnachten aan de Werf,https://www.google.com/maps/search/?api=1&query=Overnachten%20aan%20de%20Werf&query_place_id=ChIJ73Z-S3tvxkcR4O9_FfE9_f8,Horeca,,"Oudegracht aan de Werf 253, 3511 NM Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
PagnePalace,https://www.google.com/maps/search/?api=1&query=PagnePalace&query_place_id=ChIJB_EQnr5lxkcR2tgrnLvKeCM,Horeca,,"W.A. Vultostraat 61, 3523 TT Utrecht, Nederland",,,,,+31 6 15180028,,new,,,,,,,,{},,,,0
Daen's Hotel,http://www.daens.nl/,Horeca,,"Minrebroederstraat 1, 3512 GS Utrecht, Nederland",,,,,+31 30 231 3823,,new,,,,,,,,{},,,,0
De Oude Beltoren,https://www.deoudebeltoren.nl/,Horeca,,"Wittevrouwenstraat 44, 3512 CV Utrecht, Nederland",,,,,+31 6 31223888,,new,,,,,,,,{},,,,0
O'Leary's,https://www.olearys-utrecht.com/,Horeca,,"Adelaarstraat 23, 3514 CA Utrecht, Nederland",,,,,+31 30 271 3680,,new,,,,,,,,{},,,,0
Cozy Pillow Hotel Utrecht,https://cozypillow.nl/,Horeca,,"Steenweg 13, 3511 JK Utrecht, Nederland",,,,,+31 6 11108838,,new,,,,,,,,{},,,,0
The 1st Floor Lunchroom,https://hollbusi.org/business/the-1st-floor-lunchroom-chijuxp,Horeca,,"Hollantlaan 4, 3526 AN Utrecht, Nederland",,,,,+31 30 744 0210,,new,,,,,,,,{},,,,0
Riffi bv,https://www.google.com/maps/search/?api=1&query=Riffi%20bv&query_place_id=ChIJY6H_j8txxkcRrup__m7V560,Horeca,,"Proostwetering 80, 3543 AJ Utrecht, Nederland",,,,,+31 6 19007011,,new,,,,,,,,{},,,,0
Lunch-es,https://www.google.com/maps/search/?api=1&query=Lunch-es&query_place_id=ChIJa5OmzMtxxkcRjUb8b0AgqVg,Horeca,,"Reigerskamp 232, 3607 HM Maarssen, Nederland",,,,,+31 6 83965354,,new,,,,,,,,{},,,,0
Family Foodspot Utrecht,https://www.utrecht.family.nl/,Horeca,,"Proostwetering 80-c, 3543 AJ Utrecht, Nederland",,,,,+31 30 238 7537,,new,,,,,,,,{},,,,0
Wok To Go Proostwetering | Asian Restaurant Utrecht | Aziatische Gerechten | Eat-in | Take-away,https://www.woktogo.nl/,Horeca,,"Proostwetering 80-h, 3543 AJ Utrecht, Nederland",,,,,+31 30 241 0463,,new,,,,,,,,{},,,,0
New York Pizza,https://www.newyorkpizza.nl/?store=107&utm_medium=organic&utm_source=GMBlisting,Horeca,,"Proostwetering 80e, 3543 AJ Utrecht, Nederland",,,,,+31 30 204 0604,,new,,,,,,,,{},,,,0
Restaurant Zorba's,https://restaurantzorbas.nl/,Horeca,,"Dorpsstraat 9, 3451 BH Utrecht, Nederland",,,,,0306776562,,new,,,,,,,,{},,,,0
Het Polderhuis,https://www.google.com/maps/search/?api=1&query=Het%20Polderhuis&query_place_id=ChIJg-6fRZ1vxkcR4bqIe4LAw9c,Horeca,,"2e Polderweg, 3565 MD Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Restaurant Hemel & Aarde,http://www.hemel-aarde.nl/,Horeca,,"Keistraat 8, 3512 HA Utrecht, Nederland",,,,,+31 30 880 4500,,new,,,,,,,,{},,,,0
Tissier,https://www.google.com/maps/search/?api=1&query=Tissier&query_place_id=ChIJAVTxEwNvxkcR8MHzsS316dc,Horeca,,"3563 CA Utrecht, Nederland",,,,,+31 30 276 5674,,new,,,,,,,,{},,,,0
Eatpoint,http://eatpoint-utrecht.nl/,Horeca,,"Mississippidreef 25 k, 3565 CE Utrecht, Nederland",,,,,+31 30 633 6171,,new,,,,,,,,{},,,,0
Daheb Shoarma & Pizza,https://www.daheb-utrecht.nl/,Horeca,,"Sweder van Zuylenweg 103, 3553 HD Utrecht, Nederland",,,,,+31 30 243 9580,,new,,,,,,,,{},,,,0
Istanblue,https://utrecht-istanblue.nl/,Horeca,,"Doornburglaan 4, 3554 EP Utrecht, Nederland",,,,,+31 6 28224107,,new,,,,,,,,{},,,,0
New York Pizza,https://www.newyorkpizza.nl/?store=100&utm_medium=organic&utm_source=GMBlisting,Horeca,,"Tiberdreef 1, 3561 GG Utrecht, Nederland",,,,,+31 30 262 5580,,new,,,,,,,,{},,,,0
Bakker Bart Utrecht Roelantdreef,https://www.bakkerbart.nl/?store=268&utm_source=GMB&utm_medium=Organic&utm_campaign=Website,Horeca,,"Roelantdreef 244, 3562 KH Utrecht, Nederland",,,,,+31 30 261 1455,,new,,,,,,,,{},,,,0
Amin,https://www.broodjes-amin-utrecht.nl/,Horeca,,"Tiberdreef 13, 3561 GR Utrecht, Nederland",,,,,+31 6 42346558,,new,,,,,,,,{},,,,0
M'Haya,http://www.mhayaeethuis.nl/,Horeca,,"Zamenhofdreef 73, 3562 JV Utrecht, Nederland",,,,,+31 30 751 0539,,new,,,,,,,,{},,,,0
Lunchroom Adam XL centrum,https://www.thuisbezorgd.nl/menu/lunchroom-adam,Horeca,,"Zamenhofdreef 27, 3562 JT Utrecht, Nederland",,,,,+31 30 633 6061,,new,,,,,,,,{},,,,0
Grillroom Shoarma Aswan,http://www.aswan-utrecht.nl/,Horeca,,"Nigerdreef 409, 3564 EG Utrecht, Nederland",,,,,+31 30 262 0050,,new,,,,,,,,{},,,,0
LunchCafe Overvecht,https://nlcompanies.org/details/lunchcafe-overvecht-ChIJn_r,Horeca,,"Roelantdreef 247, 3562 KH Utrecht, Nederland",,,,,+31 6 85536952,,new,,,,,,,,{},,,,0
Lunchroom Sehzade,http://www.lunchroomsehzade.nl/,Horeca,,"Zamenhofdreef 37, 3562 JT Utrecht, Nederland",,,,,0304300600,,new,,,,,,,,{},,,,0
Rooie Nel,https://rooienel.nl/,Horeca,,"Jagerskade 13, 3552 TL Utrecht, Nederland",,,,,+31 30 721 0004,,new,,,,,,,,{},,,,0
Wijnbar Hemel & Aarde,https://www.hemel-aarde.nl/wijnbar,Horeca,,"Keistraat 8, 3512 HV Utrecht, Nederland",,,,,+31 30 880 4500,,new,,,,,,,,{},,,,0
bedandbreakfast Staatslieden,https://www.bedandbreakfast.nl/nl/a/39XOm1jky6cD/bb-staatslieden,Horeca,,"Samuel van Houtenstraat 502, 3515 CV Utrecht, Nederland",,,,,+31 6 44914542,,new,,,,,,,,{},,,,0
Grand Café LIVING - Utrecht,https://grandcafeliving.nl/utrecht/,Horeca,,"Weg tot de Wetenschap 400, 3584 CN Utrecht, Nederland",,,,,+31202050966,https://www.linkedin.com/company/grand-caf-living,new,,,,,,,,{},,,,0
Fort de Gagel,http://www.fortdegagel.nl/,Horeca,,"Gageldijk 167, 3566 MJ Utrecht, Nederland",,,,,0302008788,https://www.linkedin.com/company/fort-de-gagel,new,,,,,,,,{},,,,0
De Kwekerij Utrecht,https://mymenuweb.com/nl/restaurants/849938/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,Horeca,,"Burgemeester Annie Brouwerlaan 2, 3582 LT Utrecht, Nederland",,,,,+31 30 200 6396,,new,,,,,,,,{},,,,0
Anason,https://www.google.com/maps/search/?api=1&query=Anason&query_place_id=ChIJM_AJF6tvxkcRVFY_Z6f5Y0A,Horeca,,"Laan van Nieuw Guinea 141, 3531 JH Utrecht, Nederland",,,,,+31 6 19157485,,new,,,,,,,,{},,,,0
mbak mega,https://sites.google.com/view/mbak-mega/home,Horeca,,"Thematerweg 10, 3455 SN Utrecht, Nederland",,,,,+31 6 20219818,,new,,,,,,,,{},,,,0
KFC,http://www.kfc.nl/,Horeca,,"De Heldinnenlaan 7, 3543 MB Utrecht, Nederland",,,,,+31 30 207 4142,,new,,,,,,,,{},,,,0
Papa´s Pannenkoeken,https://papaspannenkoeken.nl/,Horeca,,"Hof van Bern 37, 3541 DD Utrecht, Nederland",,,,,0614306939,,new,,,,,,,,{},,,,0
Cafetaria Li Corner,https://www.cafetarialicorner.nl/,Horeca,,"Herderplein 26, 3533 BP Utrecht, Nederland",,,,,0302938238,,new,,,,,,,,{},,,,0
Subway,https://restaurants.subway.com/nl/nederland/utrecht/proostwetering-80d?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=45115&utm_campaign=evergreen-2020&y_source=1_MTQ5MjM4MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Horeca,,"Proostwetering 80D, 3543 AJ Utrecht, Nederland",,,,,+31 30 238 3939,,new,,,,,,,,{},,,,0
Tayba restaurant,https://www.taybarestaurant.nl/,Horeca,,"Hondsrug 32, 3524 BP Utrecht, Nederland",,,,,+31 6 85037293,,new,,,,,,,,{},,,,0
Grill & more,https://www.google.com/maps/search/?api=1&query=Grill%20%26%20more&query_place_id=ChIJE35r_NFlxkcRnwnMxfBdxfI,Horeca,,"Marco Pololaan 361, 3526 GG Utrecht, Nederland",,,,,+31 30 274 5774,,new,,,,,,,,{},,,,0
Cafetaria 't Goy,https://nlcompanies.org/details/cafetaria-t-goy-ChIJ61k,Horeca,,"'t Goylaan 48, 3525 AH Utrecht, Nederland",,,,,+31 30 289 2489,,new,,,,,,,,{},,,,0
Chinees Bistro Lunetten Utrecht,http://www.bistrolunetten.nl/,Horeca,,"Zevenwouden 212, 3524 CX Utrecht, Nederland",,,,,0302895703,,new,,,,,,,,{},,,,0
Eethuis Kolintang,http://www.kolintang-lunetten.nl/,Horeca,,"Hondsrug 6, 3524 BP Utrecht, Nederland",,,,,+31 30 280 0873,,new,,,,,,,,{},,,,0
Beers & Barrels - Utrecht Veilinghaven,https://www.beersbarrels.nl/nl/locaties/utrecht-veilinghaven/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=utrechtveilinghaven,Horeca,,"Veilinghavenkade 177, 3521 BE Utrecht, Nederland",,,,,+31 30 293 7563,,new,,,,,,,,{},,,,0
Café Thanasis 🇬🇷,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Thanasis%20%F0%9F%87%AC%F0%9F%87%B7&query_place_id=ChIJ4Y45wgxvxkcRyVOq8H3oBDY,Horeca,,"Amsterdamsestraatweg 402, 3551 CX Utrecht, Nederland",,,,,+31 30 244 2705,,new,,,,,,,,{},,,,0
Cafetaria Lunetten,http://cafetaria-lunetten.nl/,Horeca,,"Zevenwouden 258 A, 3524 CX Utrecht, Nederland",,,,,+31 30 289 1898,,new,,,,,,,,{},,,,0
Bladna Food,http://www.bladnafood.nl/,Horeca,,"Bernadottelaan 25, 3527 GA Utrecht, Nederland",,,,,+31 30 785 4982,,new,,,,,,,,{},,,,0
Snackbar maandag,https://www.google.com/maps/search/?api=1&query=Snackbar%20maandag&query_place_id=ChIJZ6RgXvtlxkcRj9CWcPqq5OY,Horeca,,"Detmoldstraat 37A, 3523 VC Utrecht, Nederland",,,,,+31 30 289 4655,,new,,,,,,,,{},,,,0
Mondial Fish Centrum,https://www.google.com/maps/search/?api=1&query=Mondial%20Fish%20Centrum&query_place_id=ChIJ-zEq2dRlxkcR1VFfygKb_AA,Horeca,,"Bernadottelaan 146, 3527 GB Utrecht, Nederland",,,,,+31 30 662 8437,,new,,,,,,,,{},,,,0
Chez Joep and co,https://www.google.com/maps/search/?api=1&query=Chez%20Joep%20and%20co&query_place_id=ChIJ04z5SgBxxkcRl-2BL_ZGtbc,Horeca,,"Zilverschoonlaan, 3452 AB Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Kitchen Panda,http://kitchenpanda.nl/,Horeca,,"Ella Fitzgeraldplein 183, 3543 EN Utrecht, Nederland",,,,,+31 30 207 4158,,new,,,,,,,,{},,,,0
Rhijnsnack,https://www.google.com/maps/search/?api=1&query=Rhijnsnack&query_place_id=ChIJP05Eu_ZlxkcRhA0EJim9Lgk,Horeca,,"Rijnlaan 42, 3522 BN Utrecht, Nederland",,,,,+31 30 289 3042,,new,,,,,,,,{},,,,0
The green star,https://www.google.com/maps/search/?api=1&query=The%20green%20star&query_place_id=ChIJ68C7xVNlxkcR_1aR0Xk_9gI,Horeca,,"Balijelaan 16, 3521 GR Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Cafetaria Smaragdplein,http://www.cafetariasmaragdplein.nl/,Horeca,,"Smaragdplein 106, 3523 ED Utrecht, Nederland",,,,,+31 30 280 0084,,new,,,,,,,,{},,,,0
Cafétaria Akropolis,https://www.kantinastreetfood.nl/,Horeca,,"Rijnlaan 58, 3522 BP Utrecht, Nederland",,,,,+31 30 274 1091,,new,,,,,,,,{},,,,0
Heerlijk Sushi 2 Go,http://heerlijksushi2go.nl/,Horeca,,"Smaragdplein 110, 3523 ED Utrecht, Nederland",,,,,030 7852628,,new,,,,,,,,{},,,,0
El-Aziz Çigköfte Utrecht,https://www.thuisbezorgd.nl/menu/el-aziz-cigkofte-utrecht-utrecht,Horeca,,"Van Heuven Goedhartlaan 77E, 3527 CG Utrecht, Nederland",,,,,+31 6 18700846,,new,,,,,,,,{},,,,0
Kantina Streetfood,https://www.kantinastreetfood.nl/,Horeca,,"Rijnlaan 58, 3522 BP Utrecht, Nederland",,,,,+31 30 274 1091,,new,,,,,,,,{},,,,0
Eethuis Halk,https://www.google.com/maps/search/?api=1&query=Eethuis%20Halk&query_place_id=ChIJwclqC-VlxkcRu1NC78XZnwE,Horeca,,"Constant Erzeijstraat 2-A, 3523 VV Utrecht, Nederland",,,,,+31 6 47082763,,new,,,,,,,,{},,,,0
Warung Tresno,https://www.google.com/maps/search/?api=1&query=Warung%20Tresno&query_place_id=ChIJd3Xh4GpvxkcRcEma4HTHVAQ,Horeca,,"Oudenoord 422, 3513 EX Utrecht, Nederland",,,,,+31 30 743 2609,,new,,,,,,,,{},,,,0
La Suite Caffe,https://www.instagram.com/lasuitecaffe/,Horeca,,"Zamenhofdreef 39, 3562 JT Utrecht, Nederland",,,,,+31 30 269 0203,,new,,,,,,,,{},,,,0
Petit Restaurant Royal,https://www.google.com/maps/search/?api=1&query=Petit%20Restaurant%20Royal&query_place_id=ChIJaQF_i1VvxkcR0zn77EMtNcg,Horeca,,"Kanaalstraat 83, 3531 CC Utrecht, Nederland",,,,,+31 30 274 1138,,new,,,,,,,,{},,,,0
Cafetaria Sjors,https://www.cafetariasjors-utrecht.nl/,Horeca,,"Koekoekstraat 3, 3514 VB Utrecht, Nederland",,,,,+31 30 743 8878,,new,,,,,,,,{},,,,0
Dar Ouled Mellouk,https://www.darouledmellouk-bestellen.nl/,Horeca,,"Andesdreef 79, 3563 GK Utrecht, Nederland",,,,,030 785 8395,,new,,,,,,,,{},,,,0
Marti,http://www.martirestaurant.nl/,Horeca,,"Burchtplein 9, 3452 MJ Utrecht, Nederland",,,,,+31 30 877 2788,,new,,,,,,,,{},,,,0
Cafetaria ten beste,http://www.cafetariatenbeste.nl/,Horeca,,"Koekoekstraat 55, 3514 CT Utrecht, Nederland",,,,,+31 30 272 1012,,new,,,,,,,,{},,,,0
The Lekker Store,https://thelekkerstore.nl/,Horeca,,"Steenweg 22, 3511 JR Utrecht, Nederland",,,,,+31 30 303 0079,,new,,,,,,,,{},,,,0
The Gyros Bar,https://nlcompanies.org/details/the-gyros-bar-ChIJe_G,Horeca,,"Vredenburgpassage 10, 3511 WD Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Domus Medica - Merin,https://merin.nl/aanbod/utrecht/domus-medica,Horeca,,"Mercatorlaan 1200, 3528 BL Utrecht, Nederland",,,,,+31 30 202 8010,,new,,,,,,,,{},,,,0
TivoliVredenburg,https://www.tivolivredenburg.nl/,Horeca,,"Vredenburgkade 11, 3511 WC Utrecht, Nederland",,,,,+31 30 231 4544,,new,,,,,,,,{},,,,0
Eazie Utrecht Voorstraat | Asian Wok - Poké bowl - Bites and Drinks,http://eazie.nl/,Horeca,,"Voorstraat 8, 3512 AM Utrecht, Nederland",,,,,+31 30 275 1966,https://nl.linkedin.com/company/eazie-salads-wok-smoothies,new,,,,,,,,{},,,,0
Cafetaria Ten Beste,http://www.cafetariatenbeste.nl/,Horeca,,"Predikherenstraat 2, 3512 TN Utrecht, Nederland",,,,,+31 30 231 9583,,new,,,,,,,,{},,,,0
BULLY'S,https://www.bullysutrecht.nl/,Horeca,,"Zonnebaan 50, 3542 EG Utrecht, Nederland",,,,,+31 6 24809020,,new,,,,,,,,{},,,,0
Sarban - Utrecht,http://sarban.nl/,Horeca,,"Oudegracht aan de Werf 161, 3511 AL Utrecht, Nederland",,,,,0135353567,,new,,,,,,,,{},,,,0
Bakker Bart,https://www.bakkerbart.nl/vestigingen/bestellen-bij-bakker-bart-utrecht-hoog-catharijne?&utm_source=GMB&utm_medium=Organic&utm_campaign=143,Horeca,,"Godebaldkwartier 76, 3511 EL Utrecht, Nederland",,,,,+31 30 231 7229,,new,,,,,,,,{},,,,0
Dimitri Petit,http://www.dimitripetit.nl/,Horeca,,"Servetstraat 4, 3512 JG Utrecht, Nederland",,,,,+31 30 232 8316,,new,,,,,,,,{},,,,0
Le Clochard,http://www.leclochard-utrecht.nl/,Horeca,,"Ridderhofstad 2, 3512 KL Utrecht, Nederland",,,,,0302310273,,new,,,,,,,,{},,,,0
Broodje Ben Bezorging Utrecht,https://www.broodjeben.com/lunch-bestellen-utrecht-biltstraat,Horeca,,"Biltstraat 14, 3572 BA Utrecht, Nederland",,,,,0722223288,,new,,,,,,,,{},,,,0
Mister Shi Overvecht,https://www.google.com/maps/search/?api=1&query=Mister%20Shi%20Overvecht&query_place_id=ChIJw6jeoyFvxkcRWxVOMiQRj9A,Horeca,,"Theemsdreef 5, 3562 EA Utrecht, Nederland",,,,,+31 30 269 2083,,new,,,,,,,,{},,,,0
Cafetaria Royaal Cortina,https://www.google.com/maps/search/?api=1&query=Cafetaria%20Royaal%20Cortina&query_place_id=ChIJlxaLgKloxkcRqhw0jsN-EiE,Horeca,,"Adriaen van Ostadelaan 64, 3583 AK Utrecht, Nederland",,,,,+31 30 251 0745,,new,,,,,,,,{},,,,0
